_id,keyword,good_url,image_url,price,describe,shop,shop_url
ObjectId(5d5bcec3169344ce32384b35),手机,detail.tmall.com/item.htm?id=589814336859&skuId=4042062705283&user_id=2838892713&cat_id=2&is_b=1&rn=71e995c7e1f9aa3c14eb858e63edfd0c,img.alicdn.com/bao/uploaded/i2/TB1dpMacCf2gK0jSZFPFj4sopXa_102306.jpg,3988.00,"[""HUAWEI HUAWEI P30""]","[""\n华为官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=2838892713&rn=71e995c7e1f9aa3c14eb858e63edfd0c&keyword=手机
ObjectId(5d5bcec3169344ce32384b36),iPhone,detail.tmall.com/item.htm?id=558550356564&skuId=3640466731057&user_id=2616970884&cat_id=2&is_b=1&rn=098bda40c085756653cdb11c48a1c290,img.alicdn.com/bao/uploaded/i2/2616970884/O1CN01efjuGr1IOufw5J2h8_!!2616970884.jpg,3788.00,"[""\n【下单立减500元】Apple/苹果 "","" 8 64G 移动联通电信全网通4G手机 官方正品苹果"",""8\n""]","[""\n苏宁易购官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=2616970884&rn=098bda40c085756653cdb11c48a1c290&keyword=iPhone
ObjectId(5d5bcec3169344ce32384b37),iPad,detail.tmall.com/item.htm?id=597104946142&skuId=4151140192351&user_id=385131841&cat_id=2&is_b=1&rn=d41e4f157e6af23587465dc8e65d5a34,img.alicdn.com/bao/uploaded/i1/2616970884/O1CN01FBBeY81IOufvM7Shg_!!2616970884.jpg,2299.00,"[""\n【新品】华为M6平板电脑10.8英寸2019新款大屏全网通话10寸平板手机二合一M5智能安卓游戏超薄全新正品"",""\n""]","[""\n信沃数码专营店\n""]",store.taobao.com/search.htm?user_number_id=385131841&rn=d41e4f157e6af23587465dc8e65d5a34&keyword=iPad
ObjectId(5d5bcec3169344ce32384b38),电脑,detail.tmall.com/item.htm?id=592729338242&skuId=4611686611156726146&user_id=459462135&cat_id=2&is_b=1&rn=24eb9d81e61ff6ce9318ea1d92819449,img.alicdn.com/bao/uploaded/i3/1652528654/O1CN01MnK5Nk2Dna6cZDfka_!!1652528654.jpg,7999.00,"[""\n【2019新款】Lenovo/联想 拯救者 Y7000P 2019款 i7游戏本学生手提笔记本"",""英特尔酷睿九代六核15.6英寸\n""]","[""\n联想艾克兰斯专卖店\n""]",store.taobao.com/search.htm?user_number_id=459462135&rn=24eb9d81e61ff6ce9318ea1d92819449&keyword=电脑
ObjectId(5d5bcec3169344ce32384b39),手机,detail.tmall.com/item.htm?id=593922601470&skuId=4290746910165&user_id=263726286&cat_id=2&is_b=1&rn=71e995c7e1f9aa3c14eb858e63edfd0c,img.alicdn.com/bao/uploaded/i2/TB1dpMacCf2gK0jSZFPFj4sopXa_102306.jpg,1899.00,"[""OPPO K3""]","[""\n能良数码官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=263726286&rn=71e995c7e1f9aa3c14eb858e63edfd0c&keyword=手机
ObjectId(5d5bcec3169344ce32384b3a),iPhone,detail.tmall.com/item.htm?id=560597539512&skuId=4081001401758&user_id=2616970884&cat_id=2&is_b=1&rn=098bda40c085756653cdb11c48a1c290,img.alicdn.com/bao/uploaded/i2/2616970884/O1CN01efjuGr1IOufw5J2h8_!!2616970884.jpg,7388.00,"[""\n【下单立减200元】Apple/苹果 "","" X 256G全网通智能手机苹果10 原封正品"",""x "",""10\n""]","[""\n苏宁易购官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=2616970884&rn=098bda40c085756653cdb11c48a1c290&keyword=iPhone
ObjectId(5d5bcec3169344ce32384b3b),iPad,detail.tmall.com/item.htm?id=596991297899&skuId=4151763516847&user_id=2711014365&cat_id=2&is_b=1&rn=d41e4f157e6af23587465dc8e65d5a34,img.alicdn.com/bao/uploaded/i1/2616970884/O1CN01FBBeY81IOufvM7Shg_!!2616970884.jpg,2299.00,"[""\n华为平板M6 10.8英寸4G可通话WIFI手机AI智能语音电脑安卓10寸游戏m5二合一2019新款大屏全新正品"",""\n""]","[""\n华为卓瑞尔专卖店\n""]",store.taobao.com/search.htm?user_number_id=2711014365&rn=d41e4f157e6af23587465dc8e65d5a34&keyword=iPad
ObjectId(5d5bcec3169344ce32384b3c),电脑,detail.tmall.com/item.htm?id=586962791878&skuId=4611686605390179782&user_id=255921860&cat_id=2&is_b=1&rn=24eb9d81e61ff6ce9318ea1d92819449,img.alicdn.com/bao/uploaded/i3/1652528654/O1CN01MnK5Nk2Dna6cZDfka_!!1652528654.jpg,8099.00,"[""\nHasee/神舟 战神Z8/G8/Z9/G9 英特尔九代酷睿i7-9750H独显RTX2060电竞游戏本 144Hz吃鸡学生手提笔记本"",""\n""]","[""\n神舟"",""旗舰店\n""]",store.taobao.com/search.htm?user_number_id=255921860&rn=24eb9d81e61ff6ce9318ea1d92819449&keyword=电脑
ObjectId(5d5bcec3169344ce32384b3d),手机,detail.tmall.com/item.htm?id=598079959720&skuId=4352180779370&user_id=1114511827&cat_id=2&is_b=1&rn=71e995c7e1f9aa3c14eb858e63edfd0c,img.alicdn.com/bao/uploaded/i2/TB1dpMacCf2gK0jSZFPFj4sopXa_102306.jpg,1599.00,"[""honor/荣耀 荣耀9X""]","[""\n荣耀官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=1114511827&rn=71e995c7e1f9aa3c14eb858e63edfd0c&keyword=手机
ObjectId(5d5bcec3169344ce32384b3e),iPhone,detail.tmall.com/item.htm?id=598665337128&skuId=4196930480751&user_id=2204163545195&cat_id=2&is_b=1&rn=098bda40c085756653cdb11c48a1c290,img.alicdn.com/bao/uploaded/i2/2616970884/O1CN01efjuGr1IOufw5J2h8_!!2616970884.jpg,4668.00,"[""\n补贴至高300！Apple/苹果 "","" XR全网通4g双卡智能手机苹果xr/7/8/xsmax\n""]","[""\n轻松换数码旗舰店\n""]",store.taobao.com/search.htm?user_number_id=2204163545195&rn=098bda40c085756653cdb11c48a1c290&keyword=iPhone
ObjectId(5d5bcec3169344ce32384b3f),iPad,detail.tmall.com/item.htm?id=596747900717&skuId=4321874330928&user_id=2923048015&cat_id=2&is_b=1&rn=d41e4f157e6af23587465dc8e65d5a34,img.alicdn.com/bao/uploaded/i1/2616970884/O1CN01FBBeY81IOufvM7Shg_!!2616970884.jpg,2299.00,"[""\n【华为新品】华为平板M6 2019新款10.8英寸大屏智能安卓超薄游戏全网通全新平板电脑二合一"",""\n""]","[""\nclife旗舰店\n""]",store.taobao.com/search.htm?user_number_id=2923048015&rn=d41e4f157e6af23587465dc8e65d5a34&keyword=iPad
ObjectId(5d5bcec3169344ce32384b40),电脑,detail.tmall.com/item.htm?id=543489254259&skuId=4611686561916642163&user_id=255921860&cat_id=2&is_b=1&rn=24eb9d81e61ff6ce9318ea1d92819449,img.alicdn.com/bao/uploaded/i3/1652528654/O1CN01MnK5Nk2Dna6cZDfka_!!1652528654.jpg,5299.00,"[""\nHasee/神舟 战神Z6/Z7M/G7M 英特尔九代酷睿i7/i5 GTX1650独显游戏本 15.6吋窄边全面屏轻薄学生笔记本"",""\n""]","[""\n神舟"",""旗舰店\n""]",store.taobao.com/search.htm?user_number_id=255921860&rn=24eb9d81e61ff6ce9318ea1d92819449&keyword=电脑
ObjectId(5d5bcec3169344ce32384b41),电脑,detail.tmall.com/item.htm?id=592248803724&skuId=4611686610676191628&user_id=126446588&cat_id=2&is_b=1&rn=24eb9d81e61ff6ce9318ea1d92819449,img.alicdn.com/bao/uploaded/i3/1652528654/O1CN01MnK5Nk2Dna6cZDfka_!!1652528654.jpg,5299.00,"[""\n【店铺爆款】联想小新14 2019 英特尔酷睿i5 轻薄本学生办公便携笔记本"",""官方旗舰店\n""]","[""\n联想官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=126446588&rn=24eb9d81e61ff6ce9318ea1d92819449&keyword=电脑
ObjectId(5d5bcec3169344ce32384b42),手机,detail.tmall.com/item.htm?id=581727960031&skuId=4178132129944&user_id=1114511827&cat_id=2&is_b=1&rn=71e995c7e1f9aa3c14eb858e63edfd0c,img.alicdn.com/bao/uploaded/i2/TB1dpMacCf2gK0jSZFPFj4sopXa_102306.jpg,999.00,"[""honor/荣耀 荣耀10青春版""]","[""\n荣耀官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=1114511827&rn=71e995c7e1f9aa3c14eb858e63edfd0c&keyword=手机
ObjectId(5d5bcec3169344ce32384b43),iPhone,detail.tmall.com/item.htm?id=577100732441&skuId=3977829590664&user_id=713805254&cat_id=2&is_b=1&rn=098bda40c085756653cdb11c48a1c290,img.alicdn.com/bao/uploaded/i2/2616970884/O1CN01efjuGr1IOufw5J2h8_!!2616970884.jpg,7799.00,"[""\n【256G低至7799元起】Apple/苹果 "","" XS 移动联通双网通4G智能手机 "",""xs 苹果xs\n""]","[""\n中国移动手机官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=713805254&rn=098bda40c085756653cdb11c48a1c290&keyword=iPhone
ObjectId(5d5bcec3169344ce32384b44),iPad,detail.tmall.com/item.htm?id=598484215793&skuId=4335671478218&user_id=385131841&cat_id=2&is_b=1&rn=d41e4f157e6af23587465dc8e65d5a34,img.alicdn.com/bao/uploaded/i1/2616970884/O1CN01FBBeY81IOufvM7Shg_!!2616970884.jpg,1999.00,"[""\n【新品】华为平板M6 8.4英寸电脑2019新款pad二合一手机智能安卓游戏8全网通话M5超薄学生10正品"","" mini\n""]","[""\n信沃数码专营店\n""]",store.taobao.com/search.htm?user_number_id=385131841&rn=d41e4f157e6af23587465dc8e65d5a34&keyword=iPad
ObjectId(5d5bcec3169344ce32384b45),电脑,detail.tmall.com/item.htm?id=592903838992&skuId=4611686611331226896&user_id=2616970884&cat_id=2&is_b=1&rn=24eb9d81e61ff6ce9318ea1d92819449,img.alicdn.com/bao/uploaded/i3/1652528654/O1CN01MnK5Nk2Dna6cZDfka_!!1652528654.jpg,6599.00,"[""\n【3期免息】神舟战神Z7-CT5NA 15.6英寸九代i5神吃鸡州学生游戏笔记本"",""苏宁游戏本官方旗舰店\n""]","[""\n苏宁易购官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=2616970884&rn=24eb9d81e61ff6ce9318ea1d92819449&keyword=电脑
ObjectId(5d5bcec3169344ce32384b46),手机,detail.tmall.com/item.htm?id=595463435997&skuId=4324059739065&user_id=1714128138&cat_id=2&is_b=1&rn=71e995c7e1f9aa3c14eb858e63edfd0c,img.alicdn.com/bao/uploaded/i2/TB1dpMacCf2gK0jSZFPFj4sopXa_102306.jpg,2519.00,"[""Xiaomi/小米 Redmi K20 骁龙 855""]","[""\n小米官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=1714128138&rn=71e995c7e1f9aa3c14eb858e63edfd0c&keyword=手机
ObjectId(5d5bcec3169344ce32384b47),iPhone,detail.tmall.com/item.htm?id=538218798736&skuId=3217884899441&user_id=2616970884&cat_id=2&is_b=1&rn=098bda40c085756653cdb11c48a1c290,img.alicdn.com/bao/uploaded/i2/2616970884/O1CN01efjuGr1IOufw5J2h8_!!2616970884.jpg,3399.00,"[""\n【限时限量抢】Apple/苹果 "","" 7 Plus 32G 全网通4G手机"",""7plus\n""]","[""\n苏宁易购官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=2616970884&rn=098bda40c085756653cdb11c48a1c290&keyword=iPhone
ObjectId(5d5bcec3169344ce32384b48),iPad,detail.tmall.com/item.htm?id=589716151270&skuId=4369926875058&user_id=268451883&cat_id=2&is_b=1&rn=d41e4f157e6af23587465dc8e65d5a34,img.alicdn.com/bao/uploaded/i1/2616970884/O1CN01FBBeY81IOufvM7Shg_!!2616970884.jpg,3258.00,"[""\n【12期分期】送1年延保 Apple/苹果10.5 英寸 "","" Air wlan版 平板电脑 wifi 2019款"",""air3 2\n""]","[""\n三际数码官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=268451883&rn=d41e4f157e6af23587465dc8e65d5a34&keyword=iPad
ObjectId(5d5bcec3169344ce32384b49),电脑,detail.tmall.com/item.htm?id=594741015682&skuId=4611686613168403586&user_id=133668489&cat_id=2&is_b=1&rn=24eb9d81e61ff6ce9318ea1d92819449,img.alicdn.com/bao/uploaded/i3/1652528654/O1CN01MnK5Nk2Dna6cZDfka_!!1652528654.jpg,10099.00,"[""\n【新品推荐】HP/惠普 畅游人新品游戏本英特尔酷睿i7 光影精灵5暗影精灵 游戏笔记本"",""官方旗舰店官网\n""]","[""\n惠普中国官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=133668489&rn=24eb9d81e61ff6ce9318ea1d92819449&keyword=电脑
ObjectId(5d5bcec3169344ce32384b4a),手机,detail.tmall.com/item.htm?id=589192455077&skuId=4023134073245&user_id=1714128138&cat_id=2&is_b=1&rn=71e995c7e1f9aa3c14eb858e63edfd0c,img.alicdn.com/bao/uploaded/i2/TB1dpMacCf2gK0jSZFPFj4sopXa_102306.jpg,2599.00,"[""Xiaomi/小米 小米9""]","[""\n小米官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=1714128138&rn=71e995c7e1f9aa3c14eb858e63edfd0c&keyword=手机
ObjectId(5d5bcec3169344ce32384b4b),iPhone,detail.tmall.com/item.htm?id=558420556696&skuId=3472379124296&user_id=1917047079&cat_id=2&is_b=1&rn=098bda40c085756653cdb11c48a1c290,img.alicdn.com/bao/uploaded/i2/2616970884/O1CN01efjuGr1IOufw5J2h8_!!2616970884.jpg,4799.00,"[""\nApple/苹果 "","" 8\n""]","[""\nApple Store 官方旗舰店\n""]",store.taobao.com/search.htm?user_number_id=1917047079&rn=098bda40c085756653cdb11c48a1c290&keyword=iPhone
